country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,,,,,,,,,,,20300000,21500000,24900000,31600000,34600000,46800000,48500000,55200000,71400000,88400000,99900000,120000000,132000000,130000000,127000000,116000000,145000000,163000000,154000000,147000000,181000000,178000000,184000000,168000000,94500000,114000000,117000000,119000000,137000000,145000000,123000000,124000000,146000000,188000000,221000000,223000000,257000000,297000000,347000000,343000000,354000000,347000000,354000000,393000000,402000000,354000000,387000000,408000000,430000000
Canada,1700000000,1680000000,1670000000,1610000000,1660000000,1570000000,1610000000,1780000000,1800000000,1770000000,1890000000,2080000000,2230000000,2360000000,2810000000,3180000000,3580000000,3750000000,3970000000,4080000000,4740000000,5140000000,6020000000,6950000000,7350000000,7460000000,7780000000,8690000000,9900000000,10700000000,11400000000,11300000000,10800000000,10300000000,9580000000,9180000000,8620000000,7950000000,7750000000,8210000000,8300000000,8380000000,8500000000,9960000000,11300000000,13000000000,14800000000,17400000000,19300000000,18900000000,19300000000,21400000000,20500000000,18500000000,17900000000,17900000000,17800000000,21300000000,21600000000
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,3690000,3390000,4450000,4970000,5080000,,,,3560000,2740000,3430000,6210000,4260000,4100000,4510000,5000000,6800000,4640000,4520000,5780000,6450000,7080000,6990000,7940000,10800000,8400000,8240000,9760000,9740000,9820000,10000000,8920000,10200000,9350000,10700000
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600000,23200000,19100000,10700000,13000000,12200000,,,,,,10700000,15000000,15100000,15400000,,19100000,31500000,36000000,51600000,49900000,42700000,47900000,38400000,26700000,26800000,27500000,31000000
Chad,,,,,,,,,,,,,,,,,,,,,,,,39400000,40000000,37800000,48800000,34300000,77900000,56400000,34300000,,35300000,39200000,22200000,20000000,24800000,16600000,16100000,21000000,21300000,26200000,34300000,40900000,50500000,55500000,223000000,389000000,611000000,739000000,616000000,610000000,,726000000,392000000,221000000,310000000,219000000,233000000
Chile,127000000,161000000,163000000,153000000,150000000,168000000,187000000,183000000,174000000,180000000,388000000,652000000,746000000,1010000000,1100000000,487000000,600000000,924000000,1040000000,1310000000,1790000000,2290000000,2160000000,1500000000,1460000000,1140000000,1110000000,1170000000,1000000000,989000000,1030000000,1040000000,1170000000,1290000000,1470000000,1830000000,1900000000,2120000000,2110000000,2040000000,2100000000,1890000000,1780000000,2070000000,2690000000,3100000000,3860000000,4020000000,4640000000,3900000000,4890000000,5690000000,5470000000,5530000000,5100000000,4630000000,4800000000,5370000000,5570000000
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11400000000,10100000000,9950000000,12400000000,12600000000,10100000000,12600000000,14600000000,16100000000,17500000000,21000000000,22900000000,27900000000,32100000000,35100000000,40400000000,45900000000,55300000000,68000000000,86400000000,1.06E+11,1.16E+11,1.38E+11,1.57E+11,1.8E+11,2.01E+11,2.14E+11,2.16E+11,2.28E+11,2.5E+11
Colombia,76000000,97300000,154000000,170000000,190000000,185000000,173000000,179000000,141000000,132000000,163000000,264000000,171000000,174000000,195000000,228000000,229000000,280000000,361000000,468000000,611000000,639000000,668000000,860000000,890000000,717000000,679000000,721000000,862000000,865000000,890000000,911000000,1100000000,1530000000,2010000000,2620000000,4320000000,2990000000,3390000000,3250000000,3030000000,3260000000,3350000000,3280000000,4060000000,4910000000,5330000000,6780000000,9050000000,9030000000,10400000000,10300000000,11700000000,12500000000,11800000000,9130000000,8680000000,10000000000,10600000000
"Congo, Dem. Rep.",,,,58200000,49800000,78900000,78400000,45900000,50500000,72500000,102000000,102000000,94000000,102000000,189000000,174000000,121000000,161000000,215000000,191000000,152000000,71700000,147000000,78900000,53400000,40400000,67400000,28300000,215000000,67500000,45900000,43900000,85500000,469000000,,,89300000,83800000,26600000,149000000,133000000,,,78700000,138000000,165000000,205000000,205000000,160000000,122000000,184000000,239000000,332000000,374000000,341000000,491000000,396000000,295000000,295000000
"Congo, Rep.",,,,,,,,,,,13100000,13700000,12700000,19400000,24100000,33500000,34300000,36600000,38000000,52600000,57400000,63500000,72400000,,49400000,55600000,,101000000,,,,,126000000,109000000,,,,,,,,54400000,70700000,93800000,124000000,101000000,127000000,168000000,208000000,,218000000,,,367000000,705000000,,502000000,372000000,292000000
